date;time;latitude;longitude
13-03-2018;14:51;50.8506326;5.7051027
13-03-2018;15:01;50.8505998;5.7049518
13-03-2018;15:02;50.8535973;5.7030874
13-03-2018;15:07;50.9194443;5.7501229
13-03-2018;15:10;50.9506667;5.7923156
13-03-2018;15:14;51.0018014;5.8592347
13-03-2018;15:14;51.0012521;5.8591463
13-03-2018;15:14;51.0012243;5.8591058
13-03-2018;15:19;5.1001323;5.8590414
13-03-2018;15:24;50.9999067;5.8588993
13-03-2018;15:25;51.0012521;5.8591463
13-03-2018;15:27;50.9968207;5.8561494
13-03-2018;15:29;50.9909596;0.6
13-03-2018;15:31;50.9868477;5.8495531
13-03-2018;15:35;50.9802144;5.8422236
13-03-2018;15:36;50.9783843;5.8445873
13-03-2018;15:42;50.9783709;5.8445535
13-03-2018;23:09;50.9782748;5.8449007
13-03-2018;23:15;50.9781637;5.8447232
14-03-2018;07:28;50.9788566;0.5
14-03-2018;07:29;50.9783268;5.8446263
14-03-2018;07:29;50.9798298;5.8419759
14-03-2018;07:31;50.9800493;0.5842166
14-03-2018;07:35;50.9799047;5.8420499
14-03-2018;07:36;50.9864273;5.8492339
14-03-2018;07:38;50.9935462;5.8570766
14-03-2018;07:40;51.0009381;5.8590336
14-03-2018;07:46;51.0011673;5.8587895
14-03-2018;07:49;51.0009977;5.8589653
14-03-2018;07:50;50.9901218;5.8494744
14-03-2018;07:55;50.9539542;5.8352443
14-03-2018;07:59;50.9389946;5.8756684
14-03-2018;08:05;50.9016564;5.9306498
14-03-2018;08:10;50.8889748;5.9575657
14-03-2018;08:11;50.8912122;5.9735558
14-03-2018;08:15;50.8920268;5.9728924
14-03-2018;08:18;50.8925406;5.9715005
14-03-2018;10:43;50.8929495;5.9707435
14-03-2018;11:58;50.8924231;5.9719994
14-03-2018;12:02;50.8923716;0.5972058
14-03-2018;12:19;50.8918124;0.5970861
14-03-2018;12:21;50.8923672;5.9708812
14-03-2018;12:25;50.8923704;0.5971926
14-03-2018;12:45;50.8921157;5.9713351
14-03-2018;13:55;50.8924574;5.9702338
14-03-2018;14:00;50.8920687;5.9707299
14-03-2018;14:57;50.8928134;0.5970676
14-03-2018;17:11;50.8925712;5.9717231
14-03-2018;17:13;50.8918813;5.9744874
14-03-2018;17:17;50.8910829;5.9749333
14-03-2018;17:22;5.0891802;5.9744929
