Time,Latitude,Longitude
23/03/2018 16:33,356912715,1397805763
23/03/2018 16:28,356914248,1397797923
23/03/2018 14:59,356908907,1397803341
23/03/2018 14:29,356913436,1397806042
23/03/2018 14:19,356911464,1397792227
23/03/2018 14:15,356913059,139779488
23/03/2018 14:13,356908071,1397784902
23/03/2018 14:12,356911385,1397792809
23/03/2018 14:09,35698082,1397744718
23/03/2018 14:07,356979609,1397749319
23/03/2018 14:04,35698142,1397740846
23/03/2018 14:01,356986075,1397740468
23/03/2018 13:59,35698097,1397744702
23/03/2018 13:55,356896498,1397784832
23/03/2018 13:41,356902121,1397787659
23/03/2018 13:37,356885898,1397788441
23/03/2018 13:33,356857978,1397752041
23/03/2018 13:30,356860096,1397759949
23/03/2018 12:45,356856764,139774895
23/03/2018 12:27,35685809,1397750986
23/03/2018 12:25,35685831,1397753619
23/03/2018 12:24,356872278,1397763663
23/03/2018 12:22,356878583,1397761124
23/03/2018 12:19,356891874,1397781139
23/03/2018 12:18,356911275,139780399
23/03/2018 12:17,356904734,1397800256
23/03/2018 12:13,356911686,1397806243
23/03/2018 12:04,356914778,1397806339
23/03/2018 11:27,356909522,1397804067
23/03/2018 10:56,356910891,1397807204
23/03/2018 10:41,356913279,139780411
23/03/2018 10:33,356912159,1397793699
23/03/2018 10:31,356913516,1397795847
23/03/2018 10:27,356911031,1397790814
23/03/2018 10:21,357022387,1397716064
23/03/2018 10:09,35703055,1397715695
23/03/2018 10:02,357025755,1397716888
23/03/2018 10:00,35701844,139771601
23/03/2018 09:56,356987452,1397714153
23/03/2018 09:54,357009423,1397710899
23/03/2018 09:51,356996617,1397714771
23/03/2018 09:37,356989081,1397714831
23/03/2018 09:14,35698125,1397713092
23/03/2018 09:09,35698317,1397740297
23/03/2018 09:05,356980635,1397731081
23/03/2018 08:59,356978621,1397749156
23/03/2018 08:53,356979519,1397750808
23/03/2018 08:48,356864037,1397824493
23/03/2018 08:42,356807891,1397811445
23/03/2018 08:39,356823726,1397810893
23/03/2018 08:38,356826749,1397852644
23/03/2018 08:35,356836782,1397840509
23/03/2018 08:31,356820132,1397863584
23/03/2018 08:27,356817993,1397862199
23/03/2018 08:23,35680008,139786911
23/03/2018 08:16,356979543,1397598632
23/03/2018 08:04,356788721,1397405473
23/03/2018 08:03,356788686,1397404497
23/03/2018 07:58,356788725,1397405655
23/03/2018 07:46,356927506,139736495
23/03/2018 07:24,356932738,1397366109
23/03/2018 07:14,35693304,1397366709
23/03/2018 07:07,356927329,1397362917
23/03/2018 07:03,356926109,1397362952
23/03/2018 06:22,357075849,1397958955
23/03/2018 06:12,357113099,1397743511
23/03/2018 06:08,357116902,1397746283
23/03/2018 06:06,357111362,1397741029
23/03/2018 06:04,357111338,1397740923
23/03/2018 06:00,35711232,139774287
23/03/2018 05:59,357121604,1397718092
23/03/2018 05:48,357120408,1397711473
23/03/2018 05:25,357120119,1397711542
23/03/2018 05:15,357123636,1397722167
23/03/2018 05:11,357122922,1397720132
23/03/2018 05:07,357126558,1397725043
23/03/2018 05:04,357157675,1397740146
23/03/2018 05:01,35716421,1397744805
23/03/2018 04:58,3571916,1397713955
23/03/2018 04:53,357190044,1397719863
23/03/2018 04:30,357191501,1397712538
23/03/2018 03:16,357193008,1397710605
23/03/2018 03:14,35719158,1397712917
23/03/2018 03:11,357192054,1397720692
23/03/2018 03:10,357191891,1397716368
23/03/2018 03:07,357179186,1397735398
23/03/2018 03:03,357171505,1397748693
23/03/2018 03:01,357164923,1397745046
23/03/2018 02:58,357154213,1397740062
23/03/2018 02:55,357141361,139773253
23/03/2018 02:52,357114611,1397742395
23/03/2018 02:45,357113592,139774232
23/03/2018 02:40,357113312,1397744346
23/03/2018 02:36,357124887,1397770721
23/03/2018 02:33,35712384,1397773364
23/03/2018 02:29,357123924,139776468
23/03/2018 02:15,356912037,1397806423
23/03/2018 02:14,356911448,1397797441
22/03/2018 14:52,356911356,1397806311
22/03/2018 14:44,356909572,1397809193
22/03/2018 14:35,356917034,1397820991
22/03/2018 14:32,356924413,1397824983
22/03/2018 14:30,356945221,1397852362
22/03/2018 14:27,356947165,1397851276
22/03/2018 14:24,356967464,1397864695
22/03/2018 13:09,356966209,139786472
22/03/2018 12:50,356966615,1397864832
22/03/2018 12:48,356970463,1397867399
22/03/2018 12:46,356963729,1397859942
22/03/2018 12:43,35696095,1397860732
22/03/2018 12:41,356938893,1397845104
22/03/2018 12:39,356922178,1397829211
22/03/2018 12:37,356911652,1397805153
22/03/2018 12:36,356914191,1397813353
22/03/2018 11:35,356913703,1397795843
22/03/2018 11:32,356911059,1397791203
22/03/2018 11:29,356910221,1397789524
22/03/2018 11:27,356863976,1397824476
22/03/2018 11:20,35668372,1397729625
22/03/2018 11:12,356751128,1397396658
22/03/2018 10:55,356912134,1397036877
22/03/2018 10:45,356915009,1397037052
22/03/2018 10:41,356912341,1397040616
22/03/2018 10:30,356688159,1397057545
22/03/2018 10:07,356691161,1397055872
22/03/2018 10:05,356691528,1397060481
22/03/2018 10:02,35668671,1397053585
22/03/2018 10:00,356682228,1397052259
22/03/2018 09:58,356663495,1397037746
22/03/2018 09:56,356648751,139702629
22/03/2018 09:54,356630244,1397014681
22/03/2018 09:51,356622563,1397007936
22/03/2018 09:48,356595573,1397007103
22/03/2018 09:46,356606378,1397008467
22/03/2018 09:27,356592704,1397019404
22/03/2018 09:24,356596871,1397024394
22/03/2018 09:22,35659222,1397023978
22/03/2018 09:14,356804023,1397061466
22/03/2018 08:55,357282678,1397188423
22/03/2018 08:41,357280903,1397183653
22/03/2018 08:07,357289239,139718871
22/03/2018 07:48,35727869,1397185847
22/03/2018 07:46,357282841,139718743
22/03/2018 07:42,357248537,1397187804
22/03/2018 07:29,356800426,1397420885
22/03/2018 07:16,35687586,1397655349
22/03/2018 06:44,35710203,1398108477
22/03/2018 06:38,357101497,1398111463
22/03/2018 06:34,35710293,1398099364
22/03/2018 06:26,357100503,1398101158
22/03/2018 06:17,357097343,139809306
22/03/2018 06:12,357362036,1398300337
22/03/2018 05:55,357098854,1398095115
22/03/2018 05:26,357097161,1398113932
22/03/2018 05:21,357105662,1398133523
22/03/2018 05:15,357105102,1398132825
22/03/2018 05:00,356907339,1397785235
22/03/2018 04:53,356983031,1397740715
22/03/2018 04:49,356986302,139774312
22/03/2018 04:44,356999334,1397715729
22/03/2018 04:41,356985272,1397713249
22/03/2018 04:29,356990975,1397714196
22/03/2018 04:21,356997016,1397714829
22/03/2018 04:19,357006285,1397715083
22/03/2018 04:14,357006483,1397716742
